longitude,latitude,Occ
13.17137342,4.601522816,1
11.01974487,3.549740677,1
11.00354273,3.554475998,1
11.01606877,3.52537572,1
11.04356652,3.527213673,1
11.05566702,3.562957082,1
11.01636387,3.574360643,1
25.13341894,0.566394771,1
25.14069211,0.562265357,1
25.16309348,0.555100934,1
25.11391451,0.534587622,1
25.18488292,0.571525809,1
25.18540909,0.5763956,1
25.20923559,0.700241366,1
25.18610092,0.638438108,1
25.17852574,0.602591919,1
25.23453958,0.578365553,1
25.2588343,0.595084824,1
25.47045004,0.834169812,1
25.4774731,0.896993562,1
25.44167825,0.89493386,1
25.5241634,0.939021371,1
3.800390852,6.653865773,1
3.789808253,6.659250031,1
1.074490601,7.597134414,1
1.034490723,7.599832341,1
1.057729749,7.582329566,1
1.013399188,7.615222938,1
4.775050833,6.366080513,1
4.745992744,6.383706733,1
4.811030165,6.351881894,1
4.778437559,6.402844553,1
-4.045953208,5.491756605,1
-4.002764033,5.479640402,1
-4.094086233,5.448380275,1
-3.953733024,5.409104822,1
0.906983629,6.455791102,1
0.924985494,6.442571537,1
0.933857322,6.42321052,1
0.903596304,6.481193889,1
1.03397548,6.07215678,1
1.01129709,6.044268783,1
1.020718098,6.086423576,1
1.057559872,6.082928697,1
1.077049494,6.091330152,1
1.027765416,6.098805363,1
0.990493981,6.111105001,1
1.003133438,6.144020021,1
1.001792485,6.170350901,1
5.602230806,7.194570312,1
5.628637873,7.161054297,1
5.572612298,7.236395417,1
5.500444941,7.334353199,1
5.457750972,7.424823667,1
5.423226559,7.283031688,1
